id,dam,sire,gen,maternal_match,experiment,worm_full_sib_fam_id,worm_maternal_id,line,cop_id,plate_id,cop_block,coracidia_given,cop_inf,cop_checked_dpe,cop_stage_checking,cop_stage_inf,cerc_ordinal,cerc_bi,cop_dead_13dpe,failed_devo_13dpe,failed_devo_bi,cop_length_mm,procercoid_size,cop_remarks,used_fish_inf,fish_id,fish_and_copepod_matched,fish_fam_tank,fish_exp_on_cop_dpe,fish_initial_tl,fish_initial_sl,fish_initial_bm_g,tank_id,fish_surv,age_dissection,fish_final_tl,fish_final_sl,fish_final_bm_g,fish_final_bm_g_noworm,fish_liver_mg,fish_sex,schisto_inf,worm_bm_mg,used_breeding,fish_worm_remark,eggs_clutch_id,eggs_maternal_id,breeding_block,diff_mg_to_breeding_partner,breeding_partner_size_mg,eggnum_d2_6_indiv,prop_total_eggnum_from_worm_d2_6,clutchmass_d2_6_indiv,eggsize_d2_6_indiv,eggs_checked,hatched,hatching_rate_d2_6
1,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.6095,NA,NA,NA,NA,103.8,1,,NA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.4395,NA,NA,NA,NA,80.8,1,,NA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.6282,NA,NA,NA,NA,113.4,1,,NA_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.7024,NA,NA,NA,NA,113.1,1,,NA_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.3335,NA,NA,NA,NA,132,1,,NA_D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.6282,NA,NA,NA,NA,122.3,1,,NA_D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.6095,NA,NA,NA,NA,169.3,1,,NA_E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.7595,NA,NA,NA,NA,142,1,,NA_E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,1.0044,NA,NA,NA,NA,172.3,1,,NA_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.6282,NA,NA,NA,NA,171.5,1,,NA_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.9831,NA,NA,NA,NA,223.7,1,,NA_H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,1.0044,NA,NA,NA,NA,213,1,,NA_H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,1.1151,NA,NA,NA,NA,230.5,1,,NA_I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,NA,NA,0.9042,NA,NA,NA,NA,229.6,1,,NA_I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,44,40,0.6421,NA,NA,NA,NA,193.9,1,,NA_OC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,50,44,0.9302,NA,NA,NA,NA,194.6,1,,NA_OC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,57,50,1.4515,NA,NA,NA,NA,202.2,1,,NA_OC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,,_,__,,,,_NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,_,NA,_,NA,NA,NA,NA,_,NA,NA,57,50,1.313,NA,NA,NA,NA,207.2,1,,NA_OC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
