"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_001_1A",1,"C1","control",1,2,"C2",0,"uninf",1,30
"4_001_1B",1,"C1","control",1,2,"C2",1,"control",0,30
"4_001_1C",1,"C1","control",1,2,"C2",0,"uninf",1,6
"4_001_1D",1,"C1","control",1,2,"C1",1,"control",1,8
"4_001_2A",1,"C1","control",1,2,"C1",0,"uninf",1,6
"4_001_2B",1,"C1","control",1,2,"C2",0,"uninf",0,30
"4_001_2C",1,"C1","control",1,2,"C2",0,"uninf",1,6
"4_001_2D",1,"C1","control",1,2,"C1",1,"control",1,6
"4_001_3A",1,"C1","control",1,2,"C1",1,"control",1,10
"4_001_3B",1,"C1","control",1,2,"C2",0,"uninf",0,30
"4_001_3C",1,"C1","control",1,2,"C1",0,"uninf",1,6
"4_001_3D",1,"C1","control",1,2,"C1",1,"control",1,6
"4_001_4A",1,"C1","control",1,2,"C2",0,"uninf",0,30
"4_001_4B",1,"C1","control",1,NA,NA,NA,"uninf",0,30
"4_001_4C",1,"C1","control",1,2,"C2",1,"control",1,6
"4_001_4D",1,"C1","control",1,2,"C2",1,"control",1,8
"4_001_5A",1,"C1","control",1,2,"C2",0,"uninf",0,30
"4_001_5B",1,"C1","control",1,2,"C2",0,"uninf",0,30
"4_001_5C",1,"C1","control",1,2,"C2",1,"control",1,6
"4_001_5D",1,"C1","control",1,2,"C2",0,"uninf",1,6
"4_001_6A",1,"C1","control",1,2,"C2",0,"uninf",1,6
"4_001_6B",1,"C1","control",1,2,"C2",0,"uninf",1,30
"4_001_6C",1,"C1","control",1,2,"C2",1,"control",1,6
"4_001_6D",1,"C1","control",1,2,"C2",0,"uninf",1,8
"4_002_1A",1,"F5","fast",1,2,"C2",1,"fast",1,6
"4_002_1B",1,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_002_1C",1,"F5","fast",1,2,"C2",1,"fast",0,30
"4_002_1D",1,"F5","fast",1,2,"C2",1,"fast",0,30
"4_002_2A",1,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_002_2B",1,"F5","fast",1,2,"C2",1,"fast",1,6
"4_002_2C",1,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_002_2D",1,"F5","fast",1,2,"C2",1,"fast",0,30
"4_002_3A",1,"F5","fast",1,2,"C2",1,"fast",1,6
"4_002_3B",1,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_002_3C",1,"F5","fast",1,2,"C2",0,"uninf",1,15
"4_002_3D",1,"F5","fast",1,2,"C2",1,"fast",0,30
"4_002_4A",1,"C5","control",1,2,"C2",0,"uninf",1,6
"4_002_4B",1,"C5","control",1,2,"C2",1,"control",1,6
"4_002_4C",1,"C5","control",1,2,"C2",0,"uninf",0,30
"4_002_4D",1,"C5","control",1,2,"C1",0,"uninf",0,30
"4_002_5A",1,"C5","control",1,2,"C2",0,"uninf",1,8
"4_002_5B",1,"C5","control",1,NA,NA,NA,"uninf",0,30
"4_002_5C",1,"C5","control",1,2,"C2",0,"uninf",1,6
"4_002_5D",1,"C5","control",1,2,"C1",0,"uninf",1,8
"4_002_6A",1,"C5","control",1,2,"C2",0,"uninf",1,6
"4_002_6B",1,"C5","control",1,2,"C3",0,"uninf",1,6
"4_002_6C",1,"C5","control",1,2,"C2",0,"uninf",0,30
"4_002_6D",1,"C5","control",1,2,"C1",1,"control",1,8
"4_003_1A",1,"S3","slow",1,2,"C2",1,"slow",0,30
"4_003_1B",1,"S3","slow",1,2,"C2",0,"uninf",0,30
"4_003_1C",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_1D",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_2A",1,"S3","slow",1,2,"C2",0,"uninf",1,8
"4_003_2B",1,"S3","slow",1,2,"C2",0,"uninf",1,15
"4_003_2C",1,"S3","slow",1,NA,NA,NA,"uninf",0,30
"4_003_2D",1,"S3","slow",1,2,"C2",0,"uninf",1,6
"4_003_3A",1,"S3","slow",1,2,"C2",1,"slow",1,19
"4_003_3B",1,"S3","slow",1,2,"C2",1,"slow",0,30
