Copepod;;;cop;cop ID;Well;Gen;Inf round;Clutch;Mother;Line;Exposed;Grp;Trt (0=starved, 1=fed);Inf (0=uninf,1=inf);Day checked;Stage at checking;Date exposed;Day Dead;;Surv;days;Remarks;Grp2
1;1;A;001_1A;4_001_1A;1A;4;1;C1;A;control;1;uninf;1;0;2;C2;20.11.2012;20.12.2012;20.12.2012;1;30;;2_uninf
1;1;B;001_1B;4_001_1B;1B;4;1;C1;A;control;1;control;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;4_control
1;1;C;001_1C;4_001_1C;1C;4;1;C1;A;control;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;1;D;001_1D;4_001_1D;1D;4;1;C1;A;control;1;control;0;1;2;C1;20.11.2012;28.11.2012;28.11.2012;1;8;;4_control
1;2;A;001_2A;4_001_2A;2A;4;1;C1;A;control;1;uninf;1;0;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;2;B;001_2B;4_001_2B;2B;4;1;C1;A;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
1;2;C;001_2C;4_001_2C;2C;4;1;C1;A;control;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;2;D;001_2D;4_001_2D;2D;4;1;C1;A;control;1;control;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
1;3;A;001_3A;4_001_3A;3A;4;1;C1;A;control;1;control;1;1;2;C1;20.11.2012;30.11.2012;30.11.2012;1;10;;4_control
1;3;B;001_3B;4_001_3B;3B;4;1;C1;A;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
1;3;C;001_3C;4_001_3C;3C;4;1;C1;A;control;1;uninf;0;0;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;3;D;001_3D;4_001_3D;3D;4;1;C1;A;control;1;control;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
1;4;A;001_4A;4_001_4A;4A;4;1;C1;B;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
1;4;B;001_4B;4_001_4B;4B;4;1;C1;B;control;1;uninf;1;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
1;4;C;001_4C;4_001_4C;4C;4;1;C1;B;control;1;control;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
1;4;D;001_4D;4_001_4D;4D;4;1;C1;B;control;1;control;0;1;2;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;4_control
1;5;A;001_5A;4_001_5A;5A;4;1;C1;B;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
1;5;B;001_5B;4_001_5B;5B;4;1;C1;B;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
1;5;C;001_5C;4_001_5C;5C;4;1;C1;B;control;1;control;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
1;5;D;001_5D;4_001_5D;5D;4;1;C1;B;control;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;6;A;001_6A;4_001_6A;6A;4;1;C1;B;control;1;uninf;1;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
1;6;B;001_6B;4_001_6B;6B;4;1;C1;B;control;1;uninf;1;0;2;C2;20.11.2012;20.12.2012;20.12.2012;1;30;;2_uninf
1;6;C;001_6C;4_001_6C;6C;4;1;C1;B;control;1;control;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
1;6;D;001_6D;4_001_6D;6D;4;1;C1;B;control;1;uninf;0;0;2;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
2;1;A;002_1A;4_002_1A;1A;4;1;F5;A;fast;1;fast;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
2;1;B;002_1B;4_002_1B;1B;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;1;C;002_1C;4_002_1C;1C;4;1;F5;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
2;1;D;002_1D;4_002_1D;1D;4;1;F5;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
2;2;A;002_2A;4_002_2A;2A;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;2;B;002_2B;4_002_2B;2B;4;1;F5;A;fast;1;fast;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
2;2;C;002_2C;4_002_2C;2C;4;1;F5;A;fast;1;uninf;1;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
2;2;D;002_2D;4_002_2D;2D;4;1;F5;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
2;3;A;002_3A;4_002_3A;3A;4;1;F5;A;fast;1;fast;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
2;3;B;002_3B;4_002_3B;3B;4;1;F5;A;fast;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;3;C;002_3C;4_002_3C;3C;4;1;F5;A;fast;1;uninf;1;0;2;C2;20.11.2012;05.12.2012;05.12.2012;1;15;;2_uninf
2;3;D;002_3D;4_002_3D;3D;4;1;F5;A;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
2;4;A;002_4A;4_002_4A;4A;4;1;C5;B;control;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;4;B;002_4B;4_002_4B;4B;4;1;C5;B;control;1;control;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;4_control
2;4;C;002_4C;4_002_4C;4C;4;1;C5;B;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
2;4;D;002_4D;4_002_4D;4D;4;1;C5;B;control;1;uninf;1;0;2;C1;20.11.2012;;20.12.2012;0;30;;2_uninf
2;5;A;002_5A;4_002_5A;5A;4;1;C5;B;control;1;uninf;0;0;2;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
2;5;B;002_5B;4_002_5B;5B;4;1;C5;B;control;1;uninf;0;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
2;5;C;002_5C;4_002_5C;5C;4;1;C5;B;control;1;uninf;1;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;5;D;002_5D;4_002_5D;5D;4;1;C5;B;control;1;uninf;1;0;2;C1;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
2;6;A;002_6A;4_002_6A;6A;4;1;C5;B;control;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;6;B;002_6B;4_002_6B;6B;4;1;C5;B;control;1;uninf;0;0;2;C3;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
2;6;C;002_6C;4_002_6C;6C;4;1;C5;B;control;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
2;6;D;002_6D;4_002_6D;6D;4;1;C5;B;control;1;control;1;1;2;C1;20.11.2012;28.11.2012;28.11.2012;1;8;;4_control
3;1;A;003_1A;4_003_1A;1A;4;1;S3;A;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
3;1;B;003_1B;4_003_1B;1B;4;1;S3;A;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
3;1;C;003_1C;4_003_1C;1C;4;1;S3;A;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;1;D;003_1D;4_003_1D;1D;4;1;S3;A;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;2;A;003_2A;4_003_2A;2A;4;1;S3;A;slow;1;uninf;1;0;2;C2;20.11.2012;28.11.2012;28.11.2012;1;8;;2_uninf
3;2;B;003_2B;4_003_2B;2B;4;1;S3;A;slow;1;uninf;1;0;2;C2;20.11.2012;05.12.2012;05.12.2012;1;15;;2_uninf
3;2;C;003_2C;4_003_2C;2C;4;1;S3;A;slow;1;uninf;0;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
3;2;D;003_2D;4_003_2D;2D;4;1;S3;A;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;3;A;003_3A;4_003_3A;3A;4;1;S3;A;slow;1;slow;1;1;2;C2;20.11.2012;09.12.2012;09.12.2012;1;19;;5_slow
3;3;B;003_3B;4_003_3B;3B;4;1;S3;A;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
3;3;C;003_3C;4_003_3C;3C;4;1;S3;A;slow;1;slow;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
3;3;D;003_3D;4_003_3D;3D;4;1;S3;A;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;4;A;003_4A;4_003_4A;4A;4;1;S3;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
3;4;B;003_4B;4_003_4B;4B;4;1;S3;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
3;4;C;003_4C;4_003_4C;4C;4;1;S3;B;slow;1;uninf;0;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
3;4;D;003_4D;4_003_4D;4D;4;1;S3;B;slow;1;slow;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
3;5;A;003_5A;4_003_5A;5A;4;1;S3;B;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
3;5;B;003_5B;4_003_5B;5B;4;1;S3;B;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
3;5;C;003_5C;4_003_5C;5C;4;1;S3;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;5;D;003_5D;4_003_5D;5D;4;1;S3;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;6;A;003_6A;4_003_6A;6A;4;1;S3;B;slow;1;uninf;1;;;;20.11.2012;;20.12.2012;0;30;;2_uninf
3;6;B;003_6B;4_003_6B;6B;4;1;S3;B;slow;1;uninf;1;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;6;C;003_6C;4_003_6C;6C;4;1;S3;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
3;6;D;003_6D;4_003_6D;6D;4;1;S3;B;slow;1;slow;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
4;1;A;004_1A;4_004_1A;1A;4;1;S12;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;1;B;004_1B;4_004_1B;1B;4;1;S12;B;slow;1;slow;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
4;1;C;004_1C;4_004_1C;1C;4;1;S12;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;1;D;004_1D;4_004_1D;1D;4;1;S12;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;2;A;004_2A;4_004_2A;2A;4;1;S12;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;2;B;004_2B;4_004_2B;2B;4;1;S12;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;2;C;004_2C;4_004_2C;2C;4;1;S12;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;2;D;004_2D;4_004_2D;2D;4;1;S12;B;slow;1;uninf;1;;;;20.11.2012;26.11.2012;26.11.2012;1;6;unsure about inf;2_uninf
4;3;A;004_3A;4_004_3A;3A;4;1;S12;B;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;3;B;004_3B;4_004_3B;3B;4;1;S12;B;slow;1;uninf;0;0;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;3;C;004_3C;4_004_3C;3C;4;1;S12;B;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;3;D;004_3D;4_004_3D;3D;4;1;;;;0;unexp;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;1_unexp
4;4;A;004_4A;4_004_4A;4A;4;1;S12;A;slow;1;slow;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
4;4;B;004_4B;4_004_4B;4B;4;1;;;;0;unexp;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;1_unexp
4;4;C;004_4C;4_004_4C;4C;4;1;S12;A;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
4;4;D;004_4D;4_004_4D;4D;4;1;S12;A;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;5;A;004_5A;4_004_5A;5A;4;1;S12;A;slow;1;slow;0;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
4;5;B;004_5B;4_004_5B;5B;4;1;S12;A;slow;1;uninf;0;0;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;5;C;004_5C;4_004_5C;5C;4;1;S12;A;slow;1;uninf;1;0;2;C1;20.11.2012;;20.12.2012;0;30;;2_uninf
4;5;D;004_5D;4_004_5D;5D;4;1;S12;A;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
4;6;A;004_6A;4_004_6A;6A;4;1;S12;A;slow;1;uninf;0;0;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;2_uninf
4;6;B;004_6B;4_004_6B;6B;4;1;S12;A;slow;1;slow;0;1;2;C1;20.11.2012;26.11.2012;26.11.2012;1;6;;5_slow
4;6;C;004_6C;4_004_6C;6C;4;1;S12;A;slow;1;slow;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;5_slow
4;6;D;004_6D;4_004_6D;6D;4;1;S12;A;slow;1;uninf;1;0;2;C2;20.11.2012;;20.12.2012;0;30;;2_uninf
5;1;A;005_1A;4_005_1A;1A;4;1;F6;A;fast;1;fast;1;1;2;C2;20.11.2012;26.11.2012;26.11.2012;1;6;;3_fast
5;1;B;005_1B;4_005_1B;1B;4;1;F6;B;fast;1;fast;1;1;2;C2;20.11.2012;;20.12.2012;0;30;;3_fast
